Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
977	11,4852	
978	12,5062	
979	12,8626	
980	12,0047	
981	9,65401	
982	6,95994	
983	4,96534	
984	3,41019	
985	2,07593	
986	0,883396	
987	-0,191131	
988	-1,19142	
989	-2,10682	
990	-2,92991	
991	-3,72109	
992	-4,49176	
993	-5,21589	
994	-5,89338	
995	-6,53062	
996	-7,14622	
997	-7,75081	
998	-8,37446	
999	-8,99405	
1000	-9,59322	
1001	-10,0625	
1002	-10,2087	
1003	-11,0503	
1004	-11,6569	
1005	-12,1097	
1006	-12,5372	
1007	-13,0288	
1008	-13,5519	
1009	-14,0555	
1010	-14,4811	
1011	-14,6844	
1012	-15,2085	
1013	-16,1716	
1014	-16,7444	
1015	-17,2017	
1016	-17,6116	
1017	-18,0008	
1018	-18,3852	
1019	-18,8123	
1020	-19,2833	
1021	-19,7787	
1022	-20,3539	
1023	-20,8128	
1024	-21,322	
1025	-21,8444	
1026	-22,3617	
1027	-22,8852	
1028	-23,4427	
1029	-24,0239	
1030	-24,6162	
1031	-25,1949	
1032	-25,7973	
1033	-26,4433	
1034	-27,108	
1035	-27,8154	
1036	-28,5397	
1037	-29,3156	
1038	-30,0964	
1039	-30,9195	
1040	-31,8526	
1041	-32,7933	
1042	-33,7812	
1043	-34,7461	
1044	-35,6969	
1045	-36,5016	
1046	-37,3002	
1047	-37,9429	
1048	-38,285	
1049	-38,4698	
1050	-38,3545	
1051	-38,0039	
1052	-37,4902	
1053	-37,1455	
1054	-37,4682	
1055	-38,5309	
1056	-39,4079	
1057	-38,7287	
1058	-36,8493	
1059	-35,0723	
1060	-33,6809	
1061	-32,5344	
1062	-31,6079	
1063	-30,8716	
1064	-30,6836	
1065	-29,8268	
1066	-29,1525	
1067	-28,6778	
1068	-28,3721	
1069	-28,099	
1070	-27,7791	
1071	-27,4674	
1072	-27,1664	
1073	-26,8398	
1074	-26,5367	
1075	-26,2844	
1076	-26,0272	
1077	-25,7717	
1078	-25,5379	
1079	-25,3205	
1080	-25,1119	
1081	-24,9075	
1082	-24,6999	
1083	-24,5206	
1084	-24,3095	
1085	-24,1323	
1086	-23,958	
1087	-23,7642	
1088	-23,5996	
1089	-23,4652	
1090	-23,3396	
1091	-23,1665	
1092	-22,99	
1093	-22,8446	
1094	-22,6854	
1095	-22,5667	
1096	-22,4352	
1097	-22,3039	
1098	-22,1765	
1099	-22,0448	
1100	-21,9055	
1101	-21,7744	
1102	-21,6599	
1103	-21,5445	
1104	-21,4302	
1105	-21,3198	
1106	-21,218	
1107	-21,1171	
1108	-21,006	
1109	-20,9022	
1110	-20,794	
1111	-20,6802	
1112	-20,5836	
1113	-20,4787	
1114	-20,3679	
1115	-20,2695	
1116	-20,1679	
1117	-20,0768	
1118	-19,9843	
1119	-19,8962	
1120	-19,8249	
1121	-19,7529	
1122	-19,6434	
1123	-19,5316	
1124	-19,4276	
1125	-19,3448	
1126	-19,2638	
1127	-19,1895	
1128	-19,0887	
1129	-18,9961	
1130	-18,9244	
1131	-18,8516	
1132	-18,7794	
1133	-18,69	
1134	-18,6029	
1135	-18,5197	
1136	-18,4379	
1137	-18,3522	
1138	-18,2637	
1139	-18,1769	
1140	-18,0889	
1141	-18,0024	
1142	-17,9198	
1143	-17,8576	
1144	-17,8097	
1145	-17,7446	
1146	-17,6694	
1147	-17,5922	
1148	-17,5282	
1149	-17,4642	
1150	-17,396	
1151	-17,318	
1152	-17,2104	
1153	-17,0922	
1154	-16,9717	
1155	-16,8637	
1156	-16,7635	
1157	-16,6637	
1158	-16,5741	
1159	-16,496	
1160	-16,4171	
1161	-16,3347	
1162	-16,2462	
1163	-16,1619	
1164	-16,0905	
1165	-16,0166	
1166	-15,9219	
1167	-15,8276	
1168	-15,7394	
1169	-15,6558	
1170	-15,5675	
1171	-15,4766	
1172	-15,3838	
1173	-15,2898	
1174	-15,1992	
1175	-15,1071	
1176	-15,0074	
1177	-14,9171	
1178	-14,8208	
1179	-14,7235	
1180	-14,6164	
1181	-14,504	
1182	-14,3944	
1183	-14,2912	
1184	-14,1873	
1185	-14,0696	
1186	-13,949	
1187	-13,8259	
1188	-13,7006	
1189	-13,5778	
1190	-13,4433	
1191	-13,3079	
1192	-13,1699	
1193	-13,0244	
1194	-12,8661	
1195	-12,7052	
1196	-12,5598	
1197	-12,4043	
1198	-12,2433	
1199	-12,0835	
1200	-11,9258	
1201	-11,7753	
1202	-11,6354	
1203	-11,4977	
1204	-11,3164	
1205	-11,0226	
1206	-10,6379	
1207	-10,2921	
1208	-9,99161	
1209	-9,67591	
1210	-9,33267	
1211	-8,96765	
1212	-8,56323	
1213	-8,10981	
1214	-7,60213	
1215	-7,02635	
1216	-6,35558	
1217	-5,56678	
1218	-4,63533	
1219	-3,51717	
1220	-2,09478	
1221	-0,227633	
1222	1,95821	
1223	1,82393	
1224	-4,82481	
1225	-12,8673	
1226	-17,8072	
1227	-14,6054	
1228	-12,0796	
1229	-10,6427	
1230	-8,76707	
1231	-6,83857	
1232	-4,84108	
1233	-2,66054	
1234	-0,0814131	
1235	3,18904	
1236	7,59491	
1237	12,1434	
1238	6,84103	
1239	1,45465	
1240	-2,11563	
1241	-4,68084	
1242	-6,75288	
1243	-8,55859	
1244	-10,1638	
1245	-11,654	
1246	-13,0587	
1247	-14,3983	
1248	-15,6979	
1249	-16,9916	
1250	-18,3048	
1251	-19,6308	
1252	-20,9874	
1253	-22,412	
1254	-23,9297	
1255	-25,5477	
1256	-27,3468	
1257	-29,4123	
1258	-31,8493	
1259	-35,0458	
1260	-39,7265	
1261	-49,4087	
1262	-47,6349	
1263	-39,4802	
1264	-35,4952	
1265	-33,1426	
1266	-31,5724	
1267	-30,4731	
1268	-29,5573	
1269	-28,7861	
1270	-28,0223	
1271	-27,3264	
1272	-26,6736	
1273	-26,0799	
1274	-25,5418	
1275	-25,0412	
1276	-24,5966	
1277	-24,1655	
1278	-23,7748	
1279	-23,4221	
1280	-23,1016	
1281	-22,7784	
1282	-22,4763	
1283	-22,2	
1284	-21,9175	
1285	-21,6827	
1286	-21,4485	
1287	-21,2201	
1288	-21,0079	
1289	-20,8102	
1290	-20,6142	
1291	-20,4245	
1292	-20,2386	
1293	-20,0729	
1294	-19,9127	
1295	-19,7571	
1296	-19,6035	
1297	-19,4515	
1298	-19,3039	
1299	-19,158	
1300	-19,0162	
1301	-18,8681	
1302	-18,7414	
1303	-18,6164	
1304	-18,5044	
1305	-18,3931	
1306	-18,2899	
1307	-18,1997	
1308	-18,1043	
1309	-17,9983	
1310	-17,9001	
1311	-17,8004	
1312	-17,7036	
1313	-17,6069	
1314	-17,5022	
1315	-17,407	
1316	-17,3116	
1317	-17,2179	
1318	-17,1331	
1319	-17,0435	
1320	-16,9571	
1321	-16,8717	
1322	-16,79	
1323	-16,7086	
1324	-16,6221	
1325	-16,5352	
1326	-16,4593	
1327	-16,3779	
1328	-16,3001	
1329	-16,2178	
1330	-16,147	
1331	-16,0773	
1332	-16,0099	
1333	-15,9378	
1334	-15,8688	
1335	-15,7915	
1336	-15,7077	
1337	-15,625	
1338	-15,5494	
1339	-15,4767	
1340	-15,4041	
1341	-15,3383	
1342	-15,2645	
1343	-15,181	
1344	-15,0977	
1345	-15,0314	
1346	-14,9884	
1347	-14,9473	
1348	-14,8884	
1349	-14,8096	
1350	-14,7369	
1351	-14,6698	
1352	-14,6174	
1353	-14,5579	
1354	-14,4951	
1355	-14,4344	
1356	-14,3747	
1357	-14,3185	
1358	-14,2623	
1359	-14,2003	
1360	-14,1452	
1361	-14,0932	
1362	-14,0482	
1363	-14,0158	
1364	-13,9981	
1365	-14,0172	
1366	-14,0807	
1367	-14,1524	
1368	-14,1127	
1369	-13,9038	
1370	-13,6746	
1371	-13,5267	
1372	-13,4277	
1373	-13,3511	
1374	-13,2834	
1375	-13,2253	
1376	-13,1645	
1377	-13,1011	
1378	-13,0366	
1379	-12,9844	
1380	-12,9382	
1381	-12,8836	
1382	-12,8155	
1383	-12,752	
1384	-12,6967	
1385	-12,6399	
1386	-12,5838	
1387	-12,5265	
1388	-12,4713	
1389	-12,4093	
1390	-12,3451	
1391	-12,2753	
1392	-12,2342	
1393	-12,1764	
1394	-12,1178	
1395	-12,0593	
1396	-11,9974	
1397	-11,9378	
1398	-11,8784	
1399	-11,8196	
1400	-11,759	
1401	-11,7024	
1402	-11,6471	
1403	-11,591	
1404	-11,5337	
1405	-11,4767	
1406	-11,4158	
1407	-11,3511	
1408	-11,2871	
1409	-11,2242	
1410	-11,1592	
1411	-11,1066	
1412	-11,0568	
1413	-10,9932	
1414	-10,9283	
1415	-10,8701	
1416	-10,8209	
1417	-10,782	
1418	-10,7532	
1419	-10,7456	
1420	-10,734	
1421	-10,6741	
1422	-10,5685	
1423	-10,4591	
1424	-10,3691	
1425	-10,2957	
1426	-10,2296	
1427	-10,1612	
1428	-10,0942	
1429	-10,0239	
1430	-9,95414	
1431	-9,87959	
1432	-9,80931	
1433	-9,74357	
1434	-9,68078	
1435	-9,61686	
1436	-9,54386	
1437	-9,47173	
1438	-9,40052	
1439	-9,32838	
1440	-9,25728	
1441	-9,18801	
1442	-9,12178	
1443	-9,05733	
1444	-8,9957	
1445	-8,93408	
1446	-8,86966	
1447	-8,80862	
1448	-8,7511	
1449	-8,68867	
1450	-8,62866	
1451	-8,55662	
1452	-8,44813	
1453	-8,4119	
1454	-8,3409	
1455	-8,26279	
1456	-8,19286	
1457	-8,12039	
1458	-8,04626	
1459	-7,96917	
1460	-7,89055	
1461	-7,79211	
1462	-7,63272	
1463	-7,59832	
1464	-7,59638	
1465	-7,53346	
1466	-7,46005	
1467	-7,38165	
1468	-7,30392	
1469	-7,22704	
1470	-7,14943	
1471	-7,07507	
1472	-6,99586	
1473	-6,91993	
1474	-6,84091	
1475	-6,76427	
1476	-6,68178	
1477	-6,59541	
1478	-6,50814	
1479	-6,42773	
1480	-6,34682	
