Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
1456	-12,5778	
1457	-12,467	
1458	-12,3692	
1459	-12,2783	
1460	-12,2032	
1461	-12,1776	
1462	-12,307	
1463	-12,116	
1464	-11,8944	
1465	-11,7739	
1466	-11,6628	
1467	-11,5579	
1468	-11,4593	
1469	-11,3622	
1470	-11,2825	
1471	-11,1981	
1472	-11,0922	
1473	-10,9589	
1474	-10,8456	
1475	-10,8233	
1476	-10,7752	
1477	-10,6285	
1478	-10,4854	
1479	-10,3847	
1480	-10,3084	
1481	-10,2266	
1482	-10,1326	
1483	-10,029	
1484	-9,91115	
1485	-9,7958	
1486	-9,69077	
1487	-9,58705	
1488	-9,48648	
