Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
1085	-24,5023	
1086	-24,6366	
1087	-24,7799	
1088	-24,8796	
1089	-25,0109	
1090	-25,1431	
1091	-25,277	
1092	-25,3858	
1093	-25,5092	
1094	-25,6314	
1095	-25,7505	
1096	-25,8763	
1097	-25,9827	
1098	-26,1115	
1099	-26,2424	
1100	-26,3597	
1101	-26,4853	
1102	-26,5998	
1103	-26,7095	
1104	-26,823	
1105	-26,9346	
1106	-27,0622	
1107	-27,1854	
1108	-27,3132	
1109	-27,4307	
1110	-27,5416	
1111	-27,6636	
1112	-27,7698	
1113	-27,8912	
1114	-27,9957	
1115	-28,1276	
1116	-28,2486	
1117	-28,3216	
1118	-28,4573	
1119	-28,5773	
1120	-28,7319	
1121	-28,8336	
1122	-28,92	
1123	-28,9521	
1124	-28,9755	
1125	-29,0987	
1126	-29,2388	
1127	-29,3717	
1128	-29,4797	
1129	-29,6318	
1130	-29,7301	
1131	-29,8306	
1132	-29,9581	
1133	-30,0728	
1134	-30,1717	
1135	-30,2886	
1136	-30,3501	
1137	-30,512	
1138	-30,6725	
1139	-30,7949	
1140	-30,9323	
1141	-31,0781	
1142	-31,1971	
1143	-31,3195	
1144	-31,4325	
1145	-31,622	
1146	-31,7641	
1147	-31,8939	
1148	-32,0314	
1149	-32,1733	
1150	-32,354	
1151	-32,5114	
1152	-32,609	
1153	-32,7962	
1154	-32,921	
1155	-33,0394	
1156	-33,2119	
1157	-33,4231	
1158	-33,5878	
1159	-33,7888	
1160	-33,9841	
1161	-34,1783	
1162	-34,33	
1163	-34,5578	
1164	-34,7304	
1165	-34,9433	
1166	-35,1696	
1167	-35,3802	
1168	-35,5759	
1169	-35,7953	
1170	-35,9868	
1171	-36,2134	
1172	-36,4915	
1173	-36,7171	
1174	-37,091	
1175	-39,8446	
1176	-38,54	
1177	-38,551	
1178	-38,8121	
1179	-39,1206	
1180	-39,4937	
1181	-39,8443	
1182	-40,2552	
1183	-40,7257	
1184	-41,1239	
1185	-41,5894	
1186	-42,106	
1187	-42,6735	
1188	-43,2868	
1189	-43,9166	
1190	-44,6541	
1191	-45,3114	
1192	-46,2215	
1193	-46,9822	
1194	-47,9395	
1195	-49,1042	
1196	-50,1469	
1197	-51,0161	
1198	-51,7484	
1199	-52,3142	
1200	-52,5429	
1201	-51,8824	
1202	-50,945	
1203	-50,054	
1204	-48,7439	
1205	-47,8408	
1206	-46,9768	
1207	-45,7989	
1208	-45,2318	
1209	-44,2657	
1210	-43,6438	
1211	-42,7124	
1212	-42,0276	
1213	-41,3915	
1214	-40,7101	
1215	-40,2707	
1216	-39,7483	
1217	-39,1558	
1218	-38,6876	
1219	-38,2757	
1220	-37,8257	
1221	-37,3861	
1222	-36,914	
1223	-36,558	
1224	-36,194	
1225	-35,8211	
1226	-35,4625	
1227	-35,212	
1228	-34,8169	
1229	-34,4644	
1230	-34,1494	
1231	-33,8456	
1232	-33,619	
1233	-33,2911	
1234	-33,0455	
1235	-32,787	
1236	-32,5057	
1237	-32,2494	
1238	-31,9899	
1239	-31,7408	
1240	-31,499	
1241	-31,281	
1242	-31,088	
1243	-30,828	
1244	-30,6131	
1245	-30,4233	
1246	-30,246	
1247	-30,0443	
1248	-29,8201	
1249	-29,6587	
1250	-29,4646	
1251	-29,2771	
1252	-29,1104	
1253	-28,9346	
1254	-28,7623	
1255	-28,5937	
1256	-28,4417	
1257	-28,2632	
1258	-28,0936	
1259	-27,946	
1260	-27,7842	
1261	-27,6306	
1262	-27,4937	
1263	-27,3476	
1264	-27,181	
1265	-27,0191	
1266	-26,9036	
1267	-26,76	
1268	-26,6261	
1269	-26,478	
1270	-26,3427	
1271	-26,2146	
1272	-26,0665	
1273	-25,9533	
1274	-25,823	
1275	-25,7007	
1276	-25,5722	
1277	-25,4449	
1278	-25,3356	
1279	-25,225	
1280	-25,1027	
1281	-24,9903	
1282	-24,8871	
1283	-24,7736	
1284	-24,6807	
1285	-24,5677	
1286	-24,4498	
1287	-24,3386	
1288	-24,2313	
1289	-24,0988	
1290	-23,9808	
1291	-23,852	
1292	-23,7098	
1293	-23,5396	
1294	-23,3681	
1295	-23,1909	
1296	-23,0593	
1297	-23,0187	
1298	-23,0123	
1299	-23,0003	
1300	-22,9819	
1301	-22,9469	
1302	-22,899	
1303	-22,8331	
1304	-22,7453	
1305	-22,6768	
1306	-22,6026	
1307	-22,533	
1308	-22,4561	
1309	-22,3851	
1310	-22,3195	
1311	-22,2425	
1312	-22,1692	
1313	-22,0814	
1314	-22,0095	
1315	-21,9274	
1316	-21,8647	
1317	-21,7888	
1318	-21,7224	
1319	-21,655	
1320	-21,5867	
1321	-21,499	
1322	-21,4519	
1323	-21,3711	
1324	-21,3179	
1325	-21,2619	
1326	-21,1764	
1327	-21,1196	
1328	-21,0488	
1329	-20,9794	
1330	-20,9283	
1331	-20,8711	
1332	-20,8002	
1333	-20,7334	
1334	-20,6687	
1335	-20,6215	
1336	-20,5616	
1337	-20,4955	
1338	-20,435	
1339	-20,3798	
1340	-20,326	
1341	-20,2581	
1342	-20,208	
1343	-20,1421	
1344	-20,0802	
1345	-20,0298	
1346	-19,968	
1347	-19,9131	
1348	-19,8675	
1349	-19,8143	
1350	-19,7638	
1351	-19,7149	
1352	-19,6922	
1353	-19,6933	
1354	-19,6631	
1355	-19,5475	
1356	-19,454	
1357	-19,3857	
1358	-19,331	
1359	-19,278	
1360	-19,215	
1361	-19,1683	
1362	-19,1109	
1363	-19,0637	
1364	-19,0199	
1365	-18,9595	
1366	-18,9061	
1367	-18,8449	
1368	-18,7988	
1369	-18,7477	
1370	-18,6918	
1371	-18,6447	
1372	-18,6026	
1373	-18,5527	
1374	-18,5057	
1375	-18,4464	
1376	-18,3989	
1377	-18,3562	
1378	-18,3067	
1379	-18,2577	
1380	-18,1985	
1381	-18,1611	
1382	-18,0994	
1383	-18,049	
1384	-18,0035	
1385	-17,9523	
1386	-17,9	
1387	-17,8558	
1388	-17,808	
1389	-17,754	
1390	-17,7001	
1391	-17,6435	
1392	-17,6002	
1393	-17,5419	
1394	-17,5002	
1395	-17,4488	
1396	-17,3993	
1397	-17,3503	
1398	-17,2923	
1399	-17,2478	
1400	-17,198	
1401	-17,145	
1402	-17,0815	
1403	-17,024	
1404	-16,9489	
1405	-16,9416	
1406	-17,1451	
1407	-16,9346	
1408	-16,8521	
1409	-16,7784	
1410	-16,7219	
1411	-16,6643	
1412	-16,6132	
1413	-16,5575	
1414	-16,5057	
1415	-16,457	
1416	-16,4082	
1417	-16,3566	
1418	-16,3024	
1419	-16,247	
1420	-16,1897	
1421	-16,1398	
1422	-16,0856	
1423	-16,0322	
1424	-15,9751	
1425	-15,9207	
1426	-15,8653	
1427	-15,8088	
1428	-15,7551	
1429	-15,6965	
1430	-15,6465	
1431	-15,5851	
1432	-15,5309	
1433	-15,4776	
1434	-15,4159	
1435	-15,3641	
1436	-15,3047	
1437	-15,2499	
1438	-15,1913	
1439	-15,1366	
1440	-15,0739	
1441	-15,0196	
1442	-14,9667	
1443	-14,9068	
1444	-14,8491	
1445	-14,7972	
1446	-14,732	
1447	-14,6728	
1448	-14,6149	
1449	-14,5561	
1450	-14,4934	
1451	-14,4374	
1452	-14,3744	
1453	-14,3145	
1454	-14,2511	
1455	-14,1914	
1456	-14,1319	
1457	-14,0744	
1458	-14,0061	
1459	-13,9439	
1460	-13,8846	
1461	-13,8267	
1462	-13,7593	
1463	-13,6949	
1464	-13,6316	
1465	-13,5708	
1466	-13,5059	
1467	-13,4447	
1468	-13,383	
1469	-13,3226	
1470	-13,2553	
1471	-13,1962	
1472	-13,1277	
1473	-13,0637	
1474	-13,0011	
1475	-12,936	
1476	-12,8701	
1477	-12,799	
1478	-12,7401	
1479	-12,6707	
1480	-12,6034	
1481	-12,5343	
1482	-12,4734	
1483	-12,4077	
1484	-12,3372	
1485	-12,2704	
1486	-12,2006	
1487	-12,1317	
1488	-12,0624	
